"Side" "Layer" "Slot" "Name" "Xtant" "Pwg" "Pwgpos" "TDR" "lc80" "lc90"
"P" 1 13 "L13AO071" 1 0 0 0 9.3 10.4
"P" 1 14 "L11AO154" 1 0 2 4 12.1 13.1
"P" 1 15 "L10AO149" 1 0 1 1 4.9 5.6
"P" 2 1 "L07PI004" 3 3 4 6 4.5 5.1
"P" 2 2 "L14AI042" 3 3 5 3 4.2 5.3
"P" 2 3 "L09GI013" 3 2 4 14 6.1 6.9
"P" 2 4 "L10GI014" 3 2 0 22 7.4 8.6
"P" 2 5 "L12AI003" 3 1 4 20 3.8 4.1
"P" 2 6 "L12AJ051" 3 0 4 8 4.9 6.3
"P" 2 7 "L12AI006" 3 0 0 0 2.4 3.4
"P" 2 9 "L12AJ021" 1 3 4 2 3.9 4.4
"P" 2 10 "L12AH057" 1 2 4 14 3.1 3.5
"P" 2 11 "L12AI001" 1 2 0 23 3.1 3.4
"P" 2 12 "L10PI005" 1 1 4 20 3.3 3.6
"P" 2 13 "L09GI006" 1 0 4 8 2.8 4
"P" 3 2 "L14AI044" 3 3 3 7 5.8 6.4
"P" 3 3 "L09GI002" 3 2 3 19 5.2 6
"P" 3 4 "L10PI008" 3 2 1 23 4.8 5.4
"P" 3 5 "L12AI016" 3 1 3 17 16.8 20.2
"P" 3 6 "L12AH058" 3 0 3 5 5 5.5
"P" 3 7 "L12SI167" 3 0 1 1 7.7 9.2
"P" 3 9 "L12SH169" 1 3 3 7 3.8 4.1
"P" 3 10 "L12AJ033" 1 2 3 19 5.7 6.3
"P" 3 11 "L12AI012" 1 2 1 22 41.3 46.8
"P" 3 12 "L10PI001" 1 1 3 17 4.5 4.8
"P" 3 13 "L09GI011" 1 0 3 5 2.2 2.3
"P" 4 3 "L09AI077" 3 2 5 15 2.7 2.9
"P" 4 4 "L10GI015" 3 2 2 18 3.6 4
"P" 4 5 "L12AI065" 3 1 5 21 6.9 7.8
"P" 4 6 "L12AJ019" 3 0 5 9 14.8 17
"P" 4 7 "L12AI063" 3 0 2 4 3 3.4
"P" 4 9 "L12AJ018" 1 3 5 3 4 4.7
"P" 4 10 "L12AH061" 1 2 5 15 4.4 4.8
"P" 4 11 "L12AI015" 1 2 2 18 2.3 2.5
"P" 4 12 "L10AI079" 1 1 5 21 3.7 4
"P" 4 13 "L09AI075" 1 0 5 9 13.9 15.6
"P" 5 3 "L09AI136" 7 1 5 21 2.4 2.6
"P" 5 4 "L10PI013" 7 1 2 16 7.5 8.3
"P" 5 5 "L12AI066" 7 2 5 15 4.5 4.8
"P" 5 6 "L12AH036" 7 3 5 3 3.8 4.1
"P" 5 7 "L12AI131" 7 3 2 6 4.4 5.5
"P" 5 9 "L12AH035" 5 0 5 9 7.8 8.6
"P" 5 10 "L12AJ022" 5 1 5 21 3 3.4
"P" 5 11 "L12AI132" 5 1 2 16 3 3.5
"P" 5 12 "L10PI009" 5 2 5 15 7.2 7.7
"P" 5 13 "L09AI138" 5 3 5 3 3.2 3.9
"P" 6 2 "L14AI043" 7 0 3 5 3.5 4
"P" 6 3 "L09PI012" 7 1 3 17 4.3 4.6
"P" 6 4 "L10AI078" 7 1 1 13 3.1 3.4
"P" 6 5 "L12SI168" 7 2 3 19 6.6 8
"P" 6 6 "L12AJ052" 7 3 3 7 12.5 14.6
"P" 6 7 "L12SI171" 7 3 1 11 3.2 3.5
"P" 6 9 "L12AJ023" 5 0 3 5 11.3 13
"P" 6 10 "L12AH037" 5 1 3 17 7 8.8
"P" 6 11 "L12AH062" 5 1 1 13 4 4.5
"P" 6 12 "L10AI080" 5 2 3 19 4 4.4
"P" 6 13 "L09AI135" 5 3 3 7 4.6 5.1
"P" 7 1 "L07PI006" 7 0 4 4 2.9 3.3
"P" 7 2 "L14AI039" 7 0 5 9 5.4 5.9
"P" 7 3 "L09AI102" 7 1 4 20 3.2 3.9
"P" 7 4 "L10PI007" 7 1 0 12 2.8 3
"P" 7 5 "L12AI050" 7 2 4 14 19.1 21.2
"P" 7 6 "L12AH046" 7 3 4 2 3.5 4
"P" 7 7 "L12AI068" 7 3 0 10 7.5 8
"P" 7 9 "L12AH045" 5 0 4 8 3.2 3.6
"P" 7 10 "L12AJ047" 5 1 4 20 6.2 6.9
"P" 7 11 "L12AI133" 5 1 0 12 8.9 13.6
"P" 7 12 "L10PI011" 5 2 4 14 5.3 7.5
"P" 7 13 "L09AI091" 5 3 4 2 4.3 4.7
"P" 8 1 "L10AO146" 7 0 1 1 5.1 4.2
"P" 8 2 "L11SO165" 7 0 2 8 6.2 8.1
"P" 8 3 "L13AO111" 7 0 0 0 5.7 6.1
"P" 8 4 "L14AO157" 7 2 1 23 7.9 9.2
"P" 8 5 "L15SO178" 7 2 2 18 12.5 14.6
"P" 8 6 "L15AN118" 7 2 0 22 3.8 4.5
"P" 8 7 "L15AO096" 5 0 0 0 37.4 44
"P" 8 8 "L15AN117" 5 0 2 4 12.2 13.2
"P" 8 9 "L15AO162" 5 0 1 1 7.3 7.9
"P" 8 10 "L15AP112" 5 2 0 22 4 4.5
"P" 8 11 "L15AO116" 5 2 2 18 4.3 4.8
"P" 8 12 "L14AO121" 5 2 1 23 4.1 4.5
"P" 8 13 "L13AO072" 5 3 0 10 3.9 4.6
"P" 8 14 "L11AO155" 5 3 2 6 8.1 9.9
"P" 8 15 "L10AO147" 5 3 1 11 3.8 4.5
